id	type_of_building	year_award	award	project_name	postal_code	description
739	Mixed Development	FY11	Gold	Orchard Hotel Singapore	238879	Offering cosmopolitan elegance and comfort on the world famous Orchard Roas, The Orchard Hotel Singapore features 655 elegantly designed rooms to suit business and leisure needs in a Award-winning cafe and restaurant offer everything from Cantonese fine-dining to local and international cuisine. Our conference centre comprises of meeting suites and pillar-less ballrooms equipped with a business centre, fitness club, outdoor pool, and other recreational facilities. The hotel is also located close to the Central Business District, banks, embassies and just 25 minutes away from Singapore Changi Airport.   The Orchard Hotel Singapore consists of three blocks, orchard wing, claymore wing and lastly retail block. Orchard Hotel Singapore has achieved the Energy Efficiency Index of 354.51kWh/m2/yr - with reference to the top 50 percentile in building energy performance for mixed development buildings at 429kWh/m2/yr. As part of corporate social responsibility for the environment impact, the hotel have been closely monitoring to ensuring sustainable operations - implementing carbon reduction strategy and plans, aiming to achieve more than the set targets. The estimated energy and water savings per year is 1,179,363.69 kWh and 16,727 m3 respectively.
1292	Mixed Development	FY14	Gold Plus	Orchard Plaza	238841	Orchard Plaza is a commercial property located at 150 Orchard Road, Singapore  238841. It is primarily used for Office and Retail and is being managed by MCST.  Orchard Plaza is close to Somerset & Dhoby Ghuat MRT as well as near to several  bus stops located at Orchard Road. Orchard Plaza has a net lettable area of 15,276 Sq. meter and Gross Floor Area  (GFA) 22,330.97 sq. meters, comprising 5 storeys of retail (L1 – L5) and 3 storeys  of office tower (L6 – L8) with 4 floors of mechanically ventilated basement car park.  (B1 – B4)
1474	Mixed Development	FY15	Green Mark Certified	Orchard Towers	238875	Orchard Towers is an 18-storey office building located on the corner of Claymore Road and Orchard Road. Construction was completed in 1975. It comprises of a 25-storey with basement office and commercial building (front block) and 8-storey office and commercial building (rear block). With a total GFA of 41,026.03 m2 for both blocks and an estimated air conditioned volume of 107,178.75 m3. Both the towers are served by a highly efficient central chilled-water air conditioning plant which was retrofitted in 2014.
641	Mixed Development	FY11	Platinum	orchardgateway	238858	The site is located along 277 Orchard Road with a site area of 6,773.6 m2 and a 20 storey mixed-development with 2 basements and will comprise of a hotel with 535 rooms, a retail shopping mall and a multi-storey carpark for 273 parking spaces.
642	Mixed Development	FY11	Platinum	Parkroyal on Pickering; and One Upper Pickering	058289	PARKROYAL on Pickering – A new 16-storey hotel and 15-storey office development located at 1 & 3 Upper Pickering Street. With a GFA of 29,811 m2, this development has 365 hotel rooms and 9 office floors.
261	Mixed Development	FY09	Platinum	Parkway Parade	449269	Parkway Parade is one of Singaporeâs first major and biggest suburban malls. The shopping mall is a mixed retail and office development. It comprises of 6 levels of retail outlets (including basement), 1 level of medical centre and a 17-storey officer tower atop the podium. It boasts an impressive atrium space with skylight that filters in natural light.  Parkway Parade has a Gross Floor Area of 98,056 m2, with net lettable area of 48,840 m2 and 17,783 m2 for retail and office respectively. It hosts 251 retailers and has estimated foot traffic of 22.1 million people every year.
938	Mixed Development	FY12	Green Mark Gold Plus	Paya Lebar Square Mall	409051	Type of Use: Commercial (Retail & Office)  No. of storey: 13 storey  Location: 60 Paya Lebar Singapore 409051
545	Mixed Development	FY10	Green Mark Certified	PSA Tanjong Pagar Complex	089053	21 storey office building cum retail shops on lots 450 PT & 451 PT, TS 23 at 7 Keppel Road
1643	Mixed Development	FY15	Green Mark Gold Plus	SEAMEO Regional Language Centre	258352	SEAMEO Regional Language Centre is an 18-storey building located along 30 Orange Grove Road. The major component of the building operates as hotel and service apartment, education centre, office tenants, a handful of eateries and retails.  The building with a total gross floor area of 21,466.7 square metres has an outdoor carpark with greenery along the site perimeter.
1279	Mixed Development	FY14	Platinum	SEF SpaceHub	415808	Proposed 5 Storey Integrated Construction & Prefab Hub at Kaki Bukit Road 4, consisting 5 levels of factory, storage, dormitory and supporting office.
765	Mixed Development	FY11	Gold	Sentosa Cove Arrival Plaza	098537	3-storey carpark and Arrival Plaza including bus/taxi drop off porch and commercial (shops, sale office and showroom) at Sentosa Cove on Lot 1296PT MK 34 at Ocean Drive
766	Mixed Development	FY11	Gold	Shaw Centre	228208	Shaw Centre is 28 storey building mix development with 15 storey for office, 5 storey Retail and 8 storey shared carpark with Shaw House at 1 Scott Road. GFA: 43,984.57m2 Site Area: 4,468.20 m2
767	Mixed Development	FY11	Gold	Shaw House	238868	Shaw House is mix development building with 23 storey and 1 basement. Its consist of 5 storey retail, 2 storey cinema, 11 storey of office with shared carpark with  Shaw Centre at 350, Orchard Road. Site Area: 6,204.70 m2 Gross Floor Area (GFA): 48,882.12 m2
1639	Mixed Development	FY15	Green Mark Gold Plus	Siglap Centre	455871	Siglap Centre is a mixed development consisting of retail and residential apartments with a GFA of about 6662 m2 located at Siglap Road. There are a total of 4 levels above ground and 2 basement levels, among which, there are 1 basement carpark, 3 levels of retail shops and 2 levels of residential apartments (double volume).
1293	Mixed Development	FY14	Gold Plus	Sim Lim Tower	208787	Sim Lim Tower is a freehold commercial property located at 10 Jalan Besar, and is situated very  close to Bugis MRT and Little India MRT of Singapore. The building is comprising of 4 storey of  retail (Basement 1- Level 3) and 13 storey office tower (Level 5 to Level 17) with 3 floors naturally  ventilated car park .
1140	Mixed Development	FY13	Green Mark Gold Plus	Skyline I @ Bukit Batok	650194	Skyline I @ Bukit Batok is sited along Bukit Batok West Avenue 6. It comprises of 2 residential towers ranging from 23 to 36 storeys in height, offering 488 units of 3,4, and 5 room premium flats (at 68m2, 92/95m2, 112/115m2 respective) These units come with full height windows in the living/dining area and three-quarter height window in the bedrooms. Some of the 4 and 5 room units have balconies provided in the living/dining area and/or corner windows in the main bedroom.
1141	Mixed Development	FY13	Green Mark Gold Plus	Skyline II @ Bukit Batok	650296	Skyline II @ Bukit Batok is sited along Bukit Batok West Avenue 6. It comprises of 2 residential towers ranging from 23 to 36 storeys in height, offering 488 units of 3,4, and 5 room premium flats (at 68m2, 92/95m2, 112/115m2 respective) These units come with full height windows in the living/dining area and three-quarter height window in the bedrooms. Some of the 4 and 5 room units have balconies provided in the living/dining area and/or corner windows in the main bedroom.
649	Mixed Development	FY11	Platinum	Sofitel So Singapore	068876	
650	Mixed Development	FY11	Platinum	South Beach (Commercial)	189767	Proposed Conservation and Additions and Alterations to Existing Block 1, 9, 14 and NCO Club, and New Erection of 2 Tower Blocks of 34 and 45 storeys with 6-storey Podiums and 3 Basement Levels, Comprising Hotels, Offices, Retail Units and residential Dwelling Units at Beach Road (Downtown Core Planning Area)
1686	Mixed Development	FY15	Green Mark Platinum	Supply Chain City	648166	Supply Chain City is an integrated park that houses a 5 storey Ramp Up warehouse block, 1 storey ASRS block, and 8 storey ancillary block comprising of ancillary offices and light industrial factory.  Supply Chain City located at 8 Bulim Avenue has GFA of 132434 sqm, Air Con Area of 57320.35 sqm, and Non-Air Con Area of 75113.6 sqm.  The project is located in a well developed area, nearby expressways, Jurong Port, Tuas Checkpoint and is amidst residential and commercial developments.
1371	Mixed Development	FY14	Gold	Tang Plaza	238865	Tang Plaza is a 29 storeys mixed development of 59,000 m2 built in 1982. The  building houses  retail managed by CK Tang, hotel managed by Marriott Hotels and  common area under MCST. The building is located at 320 Orchard Road with a  direct access to Orchard MRT.
907	Mixed Development	FY12	Platinum	Tanjong Pagar Centre	078884	PROPOSED MIXED DEVELOPMENT COMPRISING ERECTION OF 19/64-STOREY BUILDING WITH 6-STOREY COMMERCIAL & CAR PARK PODIUM, 14-STOREY HOTEL, 32-STOREY OFFICE AND 26-STOREY RESIDENTIAL FLATS (189 UNITS) WITH 3 BASEMENT COMMERCIAL & CAR PARK ON LOT 876K TS 03 AT PECK SEAH STREET/CHOON GUAN STREET
442	Mixed Development	FY10	Platinum	The Heeren	238855	23 storey office building with 5-storey shopping podium & 4 basements with shopping/carparks
693	Mixed Development	FY11	Gold Plus	TripleOne Somerset	238164	TripleOne Somerset (formerly Singapore Power Building) located at 111 Somerset Road. The building is conveniently located next to Somerset MRT.   The Gross Floor Area of this project (excluding the car park) is 71,200.16 m2. The building is one 17-Storey office tower block with two floors of retail and food and beverage , and 2 levels of basement car park (B1 and B2).   The building consists centralized chilled water airconditioning system and a Building Automation System (BAS) to monitor its Air-Conditioning and Mechanical Ventilation System as well as other systems.
610	Mixed Development	FY11	Gold Plus	TripleOne Somerset	238164	TripleOne Somerset (formerly Singapore Power Building) located at 111 Somerset Road. The building is conveniently located next to Somerset MRT.
270	Mixed Development	FY09	Green Mark Gold Plus	Warehouse cum Office at 30, Pioneer Road	628502	
354	Mixed Development	FY09	Green Mark Gold Plus	Warehouse cum Office at 30, Pioneer Road	628502	
1103	Mixed Development	FY13	Gold	Wheelock Place	238880	Wheelock Place situated at No. 501, Orchard Road which has gross floor area of about 43,267m2.it was designed by leading Japanese architect Kisho Kurokawa and wascompleted in 1994.  It is a 21-storey building comprising an office tower and shopping mall  podium with 2 basement level car parks. The existing air-conditioning plant was operating at previously 1.290 kW/ton and the management embarked on air-conditioning plant upgrading project to improve the efficiency to 0.691 kW/ton. In addition new fresh air Air Handling Units were installed for the improvement of the indoor air quality.  Related to these AHUs, a new condensate recovery system was also put in place to recycle all the condensate water back to the cooling towers. All the existing AHUs were also out-fitted with VSDs to better optimize their operations. The lift lobby lightings were all replaced with the latest LED models of lightings.
